=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.01.09 15:41:10 =~=~=~=~=~=~=~=~=~=~=~=
pulseWidth (ms),dutyCycle ()
2000,0.2
time (s),temperature (deg C)
1,16.6
3,18.55
5,20.51
7,20.51
9,20.51
11,20.51
13,21.48
15,22.46
17,30.27
19,22.46
21,23.44
23,23.44
25,23.44
27,25.39
29,25.39
31,25.39
33,26.37
35,26.37
37,27.34
39,27.34
41,27.34
43,28.32
45,28.32
47,29.3
49,29.3
51,28.32
53,29.3
55,31.25
57,31.25
59,32.23
61,32.23
63,30.27
65,22.46
67,32.23
69,34.18
71,35.16
73,36.13
75,36.13
77,37.11
79,37.11
81,36.13
83,37.11
85,39.06
87,38.09
89,39.06
91,41.02
93,41.02
95,41.99
97,41.02
99,42.97
101,43.95
103,43.95
105,44.92
107,45.9
109,45.9
111,46.88
113,46.88
115,48.83
117,47.85
119,48.83
121,49.8
123,49.8
125,51.76
127,51.76
129,52.73
131,52.73
133,53.71
135,53.71
137,54.69
139,54.69
141,55.66
143,56.64
145,56.64
147,57.62
149,58.59
151,58.59
153,58.59
155,60.55
157,59.57
159,60.55
161,62.5
163,62.5
165,71.29
167,63.48
169,63.48
171,64.45
173,64.45
175,65.43
177,63.48
179,65.43
181,66.41
183,68.36
185,67.38
187,68.36
189,67.38
191,69.34
193,69.34
195,69.34
197,69.34
199,70.31
201,70.31
203,70.31
205,71.29
207,71.29
209,72.27
211,66.41
213,74.22
215,74.22
217,76.17
219,73.24
221,75.2
223,75.2
225,74.22
227,75.2
229,77.15
231,78.12
233,77.15
235,77.15
237,77.15
239,79.1
241,79.1
244,79.1
246,79.1
248,81.05
250,78.12
252,81.05
254,81.05
256,82.03
258,82.03
260,82.03
262,83.01
264,83.01
266,83.01
268,83.98
270,83.98
272,83.98
274,84.96
276,84.96
278,84.96
280,85.94
282,86.91
284,85.94
286,85.94
288,86.91
290,87.89
292,86.91
294,86.91
296,87.89
298,88.87
300,87.89
302,89.84
304,90.82
306,89.84
308,89.84
310,90.82
312,89.84
314,88.87
316,91.8
318,91.8
320,90.82
322,92.77
324,91.8
326,92.77
328,92.77
330,92.77
332,92.77
334,92.77
336,93.75
338,93.75
340,92.77
342,94.73
344,94.73
346,97.66
348,93.75
350,94.73
352,94.73
354,97.66
356,95.7
358,94.73
360,94.73
362,96.68
364,95.7
366,95.7
368,97.66
370,97.66
372,97.66
374,99.61
376,97.66
378,97.66
380,98.63
382,97.66
384,99.61
386,98.63
388,98.63
390,97.66
392,98.63
394,100.59
396,98.63
398,100.59
400,99.61
402,100.59
404,99.61
406,101.56
408,100.59
410,100.59
412,100.59
414,102.54
416,101.56
418,102.54
420,102.54
422,102.54
424,103.52
426,101.56
428,102.54
430,102.54
432,103.52
434,103.52
436,103.52
438,102.54
440,104.49
442,105.47
444,104.49
446,104.49
448,97.66
450,104.49
452,105.47
454,106.45
456,105.47
458,105.47
460,105.47
462,105.47
464,109.37
466,107.42
468,106.45
470,108.4
472,105.47
474,107.42
476,107.42
478,107.42
480,107.42
482,108.4
484,108.4
486,107.42
488,107.42
490,109.37
492,108.4
494,108.4
496,106.45
498,99.61
500,109.37
502,110.35
504,109.37
506,108.4
508,110.35
510,110.35
512,111.33
514,110.35
516,108.4
518,110.35
520,109.37
522,110.35
524,111.33
526,110.35
528,111.33
530,111.33
532,112.3
534,112.3
536,112.3
538,112.3
540,112.3
542,112.3
544,113.28
546,113.28
548,105.47
550,113.28
552,113.28
554,113.28
556,113.28
558,113.28
560,113.28
562,114.26
564,114.26
566,113.28
568,114.26
570,114.26
572,114.26
574,115.23
576,114.26
578,115.23
580,115.23
582,114.26
584,114.26
586,114.26
588,116.21
590,116.21
592,114.26
594,116.21
596,116.21
598,107.42
600,116.21
602,116.21
604,115.23
606,117.19
608,119.14
610,116.21
612,116.21
614,118.16
616,119.14
618,117.19
620,117.19
622,118.16
624,117.19
626,116.21
628,117.19
630,116.21
632,117.19
634,117.19
636,117.19
638,118.16
640,118.16
642,118.16
644,119.14
646,118.16
648,119.14
650,118.16
652,119.14
654,118.16
656,118.16
658,118.16
660,118.16
662,118.16
664,118.16
666,118.16
668,118.16
670,118.16
672,120.12
674,120.12
676,119.14
678,120.12
680,120.12
682,120.12
684,121.09
686,120.12
688,120.12
690,119.14
692,120.12
694,119.14
696,120.12
698,121.09
700,120.12
702,121.09
704,121.09
706,122.07
708,122.07
710,122.07
712,120.12
714,122.07
716,122.07
718,121.09
720,121.09
722,122.07
724,122.07
726,122.07
728,123.05
730,120.12
732,123.05
734,123.05
736,121.09
