=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.01.09 15:20:30 =~=~=~=~=~=~=~=~=~=~=~=
pulseWidth (ms),dutyCycle ()
2000,0.80
time (s),temperature (deg C)
1,60.55
3,57.62
5,58.59
7,57.62
9,58.59
11,59.57
13,59.57
15,60.55
17,62.50
19,62.50
21,64.45
23,65.43
25,66.41
27,68.36
29,70.31
49,96.68
51,100.59
53,102.54
55,106.45
57,109.37
59,112.30
61,114.26
63,117.19
65,125.00
67,125.00
69,126.95
71,129.88
73,132.81
75,134.77
77,137.70
79,138.67
81,142.58
83,144.53
85,147.46
87,149.41
89,150.39
91,153.32
93,156.25
95,157.23
97,159.18
99,161.13
101,164.06
103,155.27
105,166.02
107,166.99
119,177.73
121,180.66
123,182.62
125,184.57
127,185.55
129,187.50
131,187.50
133,189.45
135,191.41
137,193.36
139,195.31
141,196.29
143,197.27
145,199.22
147,199.22
149,202.15
151,202.15
153,204.10
155,205.08
157,209.96
159,208.01
161,208.98
163,209.96
165,211.91
167,212.89
169,213.87
171,211.91
173,216.80
175,217.77
177,219.73
179,219.73
181,220.70
183,221.68
185,224.61
187,224.61
189,225.59
191,226.56
193,227.54
195,228.52
197,229.49
199,228.52
201,229.49
203,232.42
205,234.38
207,235.35
209,236.33
211,240.23
213,237.30
215,238.28
217,239.26
219,241.21
221,241.21
223,242.19
225,242.19
227,243.16
229,245.12
231,246.09
233,246.09
235,247.07
237,249.02
239,250.00
241,250.00
244,250.98
246,252.93
248,251.95
250,253.91
252,254.88
254,253.91
256,256.84
258,258.79
260,251.95
262,266.60
264,260.74
266,261.72
268,261.72
270,263.67
272,264.65
274,264.65
276,265.63
278,266.60
280,265.63
282,267.58
284,267.58
286,268.55
288,269.53
290,269.53
292,270.51
294,270.51
296,271.48
298,271.48
300,272.46
302,271.48
304,270.51
306,269.53
308,268.55
310,266.60
312,264.65
314,263.67
316,261.72
318,258.79
320,258.79
322,256.84
324,255.86
326,255.86
328,261.72
330,253.91
332,251.95
334,250.98
336,250.00
338,247.07
340,247.07
342,246.09
344,242.19
346,240.23
348,239.26
350,237.30
352,235.35
354,232.42
356,231.45
358,229.49
360,227.54
362,226.56
364,223.63
366,222.66
368,219.73
370,220.70
372,218.75
374,217.77
376,215.82
378,214.84
380,213.87
382,212.89
384,211.91
386,208.01
388,208.01
390,208.01
392,206.05
394,206.05
396,206.05
398,203.13
400,202.15
402,202.15
404,200.20
406,199.22
408,198.24
410,198.24
412,197.27
414,195.31
416,194.34
418,193.36
420,193.36
422,192.38
424,192.38
426,190.43
428,190.43
430,189.45
432,188.48
434,187.50
436,187.50
438,186.52
440,185.55
442,183.59
444,185.55
446,189.45
448,182.62
450,181.64
452,180.66
454,181.64
456,180.66
458,178.71
460,177.73
462,177.73
464,177.73
466,176.76
468,175.78
470,174.80
472,174.80
474,173.83
476,172.85
478,172.85
480,171.88
482,170.90
484,170.90
486,168.95
488,169.92
490,166.99
492,166.99
494,166.99
496,165.04
498,166.02
500,166.02
502,165.04
504,164.06
506,163.09
508,163.09
510,162.11
512,161.13
514,161.13
516,160.16
518,159.18
520,159.18
522,157.23
524,157.23
526,156.25
528,155.27
530,156.25
532,155.27
534,154.30
536,154.30
538,153.32
540,152.34
542,152.34
544,150.39
546,151.37
548,150.39
550,150.39
552,149.41
554,148.44
556,148.44
558,147.46
560,146.48
562,146.48
564,146.48
566,145.51
568,145.51
570,144.53
572,144.53
574,142.58
576,143.55
578,142.58
580,142.58
582,140.63
584,140.63
586,139.65
588,138.67
590,139.65
592,139.65
594,138.67
596,137.70
598,137.70
600,137.70
602,137.70
604,135.74
606,135.74
608,135.74
610,135.74
612,134.77
614,134.77
616,134.77
618,132.81
620,133.79
622,131.84
624,131.84
626,131.84
628,130.86
630,130.86
632,129.88
634,129.88
636,118.16
638,122.07
640,129.88
642,127.93
644,126.95
646,127.93
648,125.98
650,126.95
652,131.84
654,125.98
656,126.95
658,125.00
660,125.00
662,125.98
664,125.00
666,125.00
668,123.05
670,124.02
672,123.05
674,122.07
676,122.07
678,121.09
