=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.01.09 16:47:39 =~=~=~=~=~=~=~=~=~=~=~=,,
pulseWidth (ms),dutyCycle (),
2000,N/A,
time (s),temperature (deg C),
623,240.23,0.19
625,240.23,0.15
627,239.26,0.15
629,238.28,0.15
631,238.28,0.15
633,237.3,0.15
635,235.35,0.72
637,235.35,0.72
639,234.38,0.72
641,233.4,0.72
643,233.4,0.72
645,233.4,0.11
647,234.38,0.11
649,234.38,0.11
651,233.4,0.11
653,232.42,0.11
655,232.42,0.78
657,233.4,0.78
659,233.4,0.78
661,232.42,0.78
663,233.4,0.78
665,234.38,0.69
667,233.4,0.69
669,235.35,0.69
671,235.35,0.69
673,236.33,0.69
675,238.28,0.37
677,239.26,0.37
679,239.26,0.37
681,240.23,0.37
683,239.26,0.37
685,241.21,0.23
687,241.21,0.23
689,241.21,0.23
691,240.23,0.23
693,239.26,0.23
695,240.23,0.29
